rank,country,HDI,lifeExpectancy,schoolingExpected,schoolingMean,GNIPerCapita,GNIRankMinusHDIRank,HDIRank,continent
15,United Kingdom,0.94,82.2,17.6,13.4,"46,624",13,17,Europe
22,Slovenia,0.926,82.1,17.4,12.9,"41,587",13,24,Europe
37,Latvia,0.879,75.9,16.6,13.3,"32,083",13,39,Europe
93,Algeria,0.745,77.1,15.5,7,"10,978",13,93,Africa
10,Australia,0.946,83.6,21.1,12.7,"49,257",14,5,Oceania
87,Peru,0.762,73.4,14.8,10,"11,916",14,86,South America
119,Venezuela,0.699,71.1,13.5,9.6,"6,184",14,120,South America
149,Congo,0.593,63.1,12.4,8.3,"2,903",14,146,Africa
156,Solomon Islands,0.562,70.7,10.3,5.9,"2,273",14,155,Oceania
44,Chile,0.86,79.5,16.8,11.1,"24,431",15,42,South America
96,Mongolia,0.741,72.7,14.5,9.4,"10,351",15,99,Asia
99,Jordan,0.736,74.2,12.6,10.4,"9,295",15,98,Asia
132,Tuvalu,0.653,64.9,12.1,10.6,"4,754",15,131,Oceania
159,Zimbabwe,0.55,59.4,11,8.8,"2,079",15,159,Africa
3,Iceland,0.959,82.8,19.1,13.8,"54,688",16,4,Europe
16,New Zealand,0.939,83,19.7,12.9,"43,665",16,14,Oceania
106,Uzbekistan,0.727,71.7,12,11.9,"8,056",16,105,Asia
48,Argentina,0.849,76.1,19,11.1,"22,048",17,47,South America
54,Antigua and Barbuda,0.826,79.2,15.5,10.5,"18,784",18,54,North America
73,Grenada,0.793,75.3,16.6,9.9,"13,593",18,73,North America
111,"Palestine, State of",0.716,73.4,13.2,9.9,"6,936",18,110,Asia
126,Tajikistan,0.679,71.3,10.9,11.3,"4,807",18,125,Asia
135,Micronesia,0.634,70.9,12.6,7.3,"3,709",18,134,Oceania
60,Georgia,0.814,71.6,16.7,12.7,"15,952",19,59,Europe
33,Greece,0.893,80.6,20,11.4,"31,382",20,33,Europe
137,Kiribati,0.628,67.7,11.8,9.1,"3,440",21,137,Oceania
140,Vanuatu,0.614,70.5,11.8,7.2,"3,244",21,141,Oceania
62,Barbados,0.809,77.7,16.5,9.9,"14,810",24,63,North America
78,Sri Lanka,0.78,76.6,13.6,11.2,"11,899",24,76,Asia
155,Timor-Leste,0.566,69.1,13.2,6,"1,629",24,153,Asia
83,Ecuador,0.765,77.9,14.9,9,"10,693",25,90,South America
